"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","402","healthCheck","","Sun Jun 01 00:23:51 GMT 2025","passed","Sun Jun 01 00:23:52 GMT 2025","","com.clark.general.BreedsHealthCheckTest","com.clark.general.BreedsHealthCheckTest","healthCheck"
"","2893","favouritePOSTContractOnV1","","Sun Jun 01 00:23:55 GMT 2025","passed","Sun Jun 01 00:23:58 GMT 2025","","com.clark.favourite.FavouriteContractTest","com.clark.favourite.FavouriteContractTest","favouritePOSTContractOnV1"
"","491","shouldNotUploadCatImageWithIncompleteFormData","","Sun Jun 01 00:24:02 GMT 2025","passed","Sun Jun 01 00:24:03 GMT 2025","","com.clark.images.ImagesFunctionalTest","com.clark.images.ImagesFunctionalTest","shouldNotUploadCatImageWithIncompleteFormData"
"","2539","shouldNotUploadDogImage","","Sun Jun 01 00:24:03 GMT 2025","passed","Sun Jun 01 00:24:05 GMT 2025","","com.clark.images.ImagesFunctionalTest","com.clark.images.ImagesFunctionalTest","shouldNotUploadDogImage"
"","2171","shouldUploadCatImage","","Sun Jun 01 00:24:00 GMT 2025","passed","Sun Jun 01 00:24:02 GMT 2025","","com.clark.images.ImagesFunctionalTest","com.clark.images.ImagesFunctionalTest","shouldUploadCatImage"
"","2032","imagesUploadContractOnV1","","Sun Jun 01 00:23:58 GMT 2025","passed","Sun Jun 01 00:24:00 GMT 2025","","com.clark.images.ImagesContractTest","com.clark.images.ImagesContractTest","imagesUploadContractOnV1"
"","2476","shouldFavouriteImageWithSuccess","","Sun Jun 01 00:23:52 GMT 2025","passed","Sun Jun 01 00:23:55 GMT 2025","","com.clark.favourite.FavouriteFunctionalTest","com.clark.favourite.FavouriteFunctionalTest","shouldFavouriteImageWithSuccess"
"","321","shouldNotFavouriteSameImageAgain","","Sun Jun 01 00:23:55 GMT 2025","passed","Sun Jun 01 00:23:55 GMT 2025","","com.clark.favourite.FavouriteFunctionalTest","com.clark.favourite.FavouriteFunctionalTest","shouldNotFavouriteSameImageAgain"
"","6901","completeSimulation","","Sun Jun 01 00:23:45 GMT 2025","passed","Sun Jun 01 00:23:51 GMT 2025","","com.clark.e2e.FullE2ETest","com.clark.e2e.FullE2ETest","completeSimulation"
"","496","shouldNotFavouriteImageDontExist","","Sun Jun 01 00:23:52 GMT 2025","passed","Sun Jun 01 00:23:52 GMT 2025","","com.clark.favourite.FavouriteFunctionalTest","com.clark.favourite.FavouriteFunctionalTest","shouldNotFavouriteImageDontExist"
